epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,485.055,0.26936,0.72639,0.89616,0.82934,1,0.89454,0.89454,0.10748,0.24995,0.76529,0.000140277,0.000140277,0.000140277
86,490.712,0.30441,0.77502,0.88343,0.82995,1,0.90239,0.90239,0.13411,0.26049,0.76856,0.000132031,0.000132031,0.000132031
87,496.534,0.28335,0.70937,0.89544,0.83018,1,0.90237,0.90237,0.14417,0.26113,0.77014,0.000123784,0.000123784,0.000123784
88,502.561,0.26464,0.643,0.8835,0.83142,1,0.88745,0.88745,0.11523,0.26281,0.76679,0.000115537,0.000115537,0.000115537
89,508.276,0.25877,0.63567,0.8935,0.83271,1,0.89933,0.89933,0.10889,0.25921,0.76624,0.00010729,0.00010729,0.00010729
90,513.917,0.25567,0.61111,0.88228,0.83254,1,0.91022,0.91022,0.1168,0.2625,0.76606,9.90437e-05,9.90437e-05,9.90437e-05
91,522.02,0.17535,0.36149,0.82211,0.83248,1,0.9025,0.9025,0.1036,0.25094,0.76558,9.0797e-05,9.0797e-05,9.0797e-05
92,527.997,0.14627,0.37282,0.81583,0.8307,1,0.89418,0.89418,0.12112,0.25226,0.76955,8.25503e-05,8.25503e-05,8.25503e-05
93,533.581,0.14617,0.39318,0.78607,0.83005,1,0.8905,0.8905,0.1234,0.25409,0.7694,7.43036e-05,7.43036e-05,7.43036e-05
94,538.999,0.1471,0.31758,0.85852,0.82957,1,0.89127,0.89127,0.11405,0.24838,0.76707,6.60569e-05,6.60569e-05,6.60569e-05
95,544.439,0.13793,0.33346,0.80996,0.82908,1,0.89099,0.89099,0.09159,0.23315,0.76218,5.78102e-05,5.78102e-05,5.78102e-05
96,550.21,0.12901,0.35815,0.84164,0.83143,1,0.89549,0.89549,0.09194,0.2311,0.75995,4.95635e-05,4.95635e-05,4.95635e-05
97,555.613,0.1327,0.3124,0.76201,0.83201,1,0.894,0.894,0.08944,0.23264,0.75952,4.13168e-05,4.13168e-05,4.13168e-05
98,561.134,0.12965,0.31499,0.80074,0.83347,1,0.89505,0.89505,0.08615,0.2291,0.7594,3.30701e-05,3.30701e-05,3.30701e-05
99,567.012,0.12871,0.34791,0.77765,0.83406,1,0.88231,0.88231,0.08633,0.22885,0.75947,2.48234e-05,2.48234e-05,2.48234e-05
100,572.897,0.13159,0.32235,0.77863,0.83431,1,0.88354,0.88354,0.08992,0.22898,0.75967,1.65767e-05,1.65767e-05,1.65767e-05
